Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0008017	microtubule binding	 	1.161E-11	2.799E-8	2.799E-8	2.341E-7	89	288	KIF18A,STARD9,MAD1L1,KIF17,KIF6,RAE1,CAMSAP3,BIRC5,CCDC181,KIF1A,RAB11A,BRCA2,PRC1,CCNB1,CDK5,AURKB,CENPE,CETN1,BOD1,KIF23,KIF20B,CEP57,NUF2,DCTN1,KIF19,KIF14,DNM1L,ECT2,KIF20A,LRPPRC,NUSAP1,APC2,KATNB1,KATNAL1,HOOK1,NDC80,CAMSAP1,SPAG5,FTCD,SAXO1,TUBGCP4,KIF2C,KATNA1,CHP1,GABARAPL2,KIF24,KIFC3,KIF11,KIF25,MAP6,SGO1,JAKMIP3,RACGAP1,MX1,DRG1,NEFM,NEFH,GAS2L3,PLK1,POLB,NDE1,KIF26B,CCDC88C,CFAP94,STRBP,CLIP1,FMN1,HAUS7,CCDC88A,MAST1,REEP4,SPAST,FCHO1,RCC2,ABRAXAS2,AURKC,MTUS2,KIF13B,TIAM1,SKA1,CEP57L1,EZR,MDM1,EML6,KIF4A,KIF15,FAM83D,KNL1,AKAP1
GO: Molecular Function	GO:0015631	tubulin binding	 	2.198E-9	5.300E-6	2.650E-6	2.217E-5	104	388	KIF18A,STARD9,MAD1L1,KIF17,KIF6,RAE1,OFD1,CAMSAP3,BIRC5,UNC5C,CCDC181,KIF1A,RAB11A,BBS4,BRCA1,BRCA2,PRC1,CCNB1,SMC3,CDK5,AURKB,CENPE,CETN1,BOD1,KIF23,KIF20B,CEP57,NUF2,DNAL1,DCTN1,KIF19,KIF14,DYRK1A,DNM1L,ECT2,KIF20A,LRPPRC,NUSAP1,APC2,KATNB1,KATNAL1,HOOK1,NDC80,CAMSAP1,SPAG5,FTCD,SAXO1,TUBGCP4,B4GALT1,KIF2C,KATNA1,CHP1,GABARAPL2,KIF24,KIFC3,KIF11,KIF25,MAP6,SGO1,JAKMIP3,RACGAP1,MX1,DRG1,NEFM,NEFH,GAS2L3,PLK1,POLB,NDE1,BCAS3,KIF26B,RGS2,CCDC88C,CFAP94,STRBP,CLIP1,FMN1,TRIM36,HAUS7,CCDC88A,CCT5,MAST1,REEP4,CENPJ,SPAST,FCHO1,RCC2,ABRAXAS2,AURKC,MTUS2,TBCA,KIF13B,TIAM1,SKA1,CEP57L1,EZR,MDM1,EML6,KIF4A,KIF15,FAM83D,KNL1,STMND1,AKAP1
GO: Molecular Function	GO:0003774	motor activity	 	9.467E-8	2.283E-4	7.609E-5	6.365E-4	48	147	KIF18A,STARD9,KIF17,KIF6,MYH7B,DNAH17,DNAH11,MYH13,KIF1A,BBS4,SMC3,CENPE,MYO3B,KIF23,KIF20B,DNAL1,DCTN1,KIF19,KIF14,DNAH8,KIF20A,DYNC1LI1,DYNC2LI1,KIF2C,CGNL1,KIF24,KIFC3,KIF11,KIF25,MYH3,MYH8,MYH10,MYO1E,MYO5B,MYO7A,MYO7B,MYO10,NDE1,DYNC2H1,KIF26B,MYH15,MYO16,KIF13B,DYNLT1,DNAH7,KIF4A,KIF15,DNAH10
GO: Molecular Function	GO:0008092	cytoskeletal protein binding	 	4.959E-7	1.196E-3	2.989E-4	2.501E-3	220	1061	KIF18A,ADD2,ADD3,STARD9,MAD1L1,KIF17,NCK2,KIF6,RAE1,OFD1,MYH7B,ANXA2,CAMSAP3,EPB41L5,GAS7,BIRC5,SHTN1,SHROOM2,UNC5C,CCDC181,MYH13,KIF1A,RAB11A,BBS4,BRCA1,BRCA2,RAB29,WASF1,CACNA1D,PRC1,CCNB1,PDLIM1,SMC3,MYOM2,CDH1,CDH3,CDH13,CDH17,CDK5,AURKB,CENPE,CETN1,CFL2,CDHR3,RAB3C,BOD1,SLC9A3R1,MYO3B,KIF23,MYRIP,KIF20B,SIPA1L1,PHACTR3,CTNNA2,CEP57,MTSS1,NUF2,DNAL1,DCTN1,FARP2,MAGI2,FBXO25,ANKRD2,KIF19,DIAPH2,KIF14,DLG1,TLN2,DMD,DYRK1A,DNM1L,ECT2,KIF20A,LRPPRC,FARP1,NUSAP1,APC2,KATNB1,KATNAL1,SPTBN5,HOOK1,NDC80,CAMSAP1,SETD3,DCDC2,LIMA1,NEBL,RTCB,NCKIPSD,RAB6B,SPAG5,FRG1,ABLIM2,GIPC1,DISC1,WASF3,FTCD,SAXO1,TUBGCP4,B4GALT1,RAB10,KIF2C,KATNA1,PTPRT,CHP1,KLHL2,GABARAPL2,KIF24,HSP90AA1,NKD2,CDH20,KCNN2,KIFC3,KIF11,KIF25,CDH19,LLGL2,MAP6,SGO1,JAKMIP3,CTNNA3,RACGAP1,MX1,MYH3,MYH8,MYH10,MYO1E,MYO5B,MYO7A,MYO7B,MYO10,NEB,DRG1,NEFM,NEFH,NRCAM,GAS2L3,SNTG1,SNTG2,TMOD2,PARVB,ANLN,PLK1,PLS1,IQGAP3,POLB,PPP2R2A,MAPK8,NDE1,BCAS3,PTPN3,EPS8L3,RAB3B,RAB27A,RAB27B,KIF26B,RGS2,CCDC88C,CFAP94,LIN7C,STRBP,CLIP1,FMN1,SCNN1A,TRIM36,HAUS7,FERMT1,FHOD3,KIFAP3,SLC8A1,CCDC88A,CCT5,ENAH,PARVA,MAST1,MYH15,DAAM1,REEP4,MYO16,CENPJ,SPAST,SPTB,EPB41L3,EPB41L4A,PARVG,BIN3,FCHO1,RCC2,ABRAXAS2,AURKC,CYFIP1,BAIAP2L1,COBL,MTUS2,TBCA,KIF13B,SLC26A5,LMOD3,TIAM1,DAAM2,SKA1,CEP57L1,EZR,CORO2A,YWHAH,MDM1,EML6,KIF4A,SPIRE1,PANX1,KIF15,ACTL8,FAM83D,DIAPH3,KNL1,RAB25,STMND1,ACTR3B,IFT88,AKAP1
GO: Molecular Function	GO:0016887	ATPase activity	 	2.141E-6	5.163E-3	1.033E-3	8.638E-3	133	596	KIF18A,CDC45,STARD9,ATP6V1C2,KIF17,RAD54L,TTF2,KIF6,DNAH17,FXYD2,ATP5F1A,DNAH11,ATP6V1B2,ATP6V1C1,ATP6V1E1,KIF1A,ATP13A5,CCNH,CDK7,CENPE,LONP1,KIF23,CPOX,KIF20B,ATP6V0A4,DDX59,ABCA12,DDX1,DDX10,PSMD6,ATP2C2,KIF19,KIF14,DNAH8,DNAJB6,ABCF2,PPIF,RAD50,KIF20A,HSPA14,ABCC4,ERCC2,BRIP1,KATNB1,KATNAL1,CD320,ATP6AP1L,ATP8A1,ATP6V1D,IPO8,GINS4,ATP2C1,DYNC2LI1,CCT8,GINS2,DNAJB11,MCM8,KIF2C,KATNA1,GTF2F2,HELLS,GABARAPL2,KIF24,DNAJB2,HSP90AA1,KIFC3,KIF11,KIF25,MCM2,MCM3,MCM4,MCM5,MCM7,MRE11,MSH2,MSH3,DDX25,UHRF1,MYH3,MYH8,MYH10,MYO1E,MYO5B,MYO7A,MYO10,NSF,ABCB1,DDX50,MOV10L1,DSCC1,DDX4,PMS1,PMS2,DDX56,ERCC6L,ABCD3,RAD51,RAD51C,RAD51B,RBBP4,DYNC2H1,KIF26B,RFC3,RFC4,RFC5,ATAD5,DDX43,CHD7,GRPEL1,CHTF18,SMARCA2,DHX32,SPAST,SNX16,RAD54L2,DNAJC9,KIF13B,VMA21,NCAPH,DNAH7,SIL1,ABCB9,TOP2B,DDX58,DDX31,XRCC2,RAD18,TDRD9,KIF4A,SLC30A3,KIF15,NAV2,DNAH10
GO: Molecular Function	GO:0008094	DNA-dependent ATPase activity	 	4.117E-6	9.927E-3	1.654E-3	1.384E-2	39	124	CDC45,RAD54L,TTF2,CCNH,CDK7,RAD50,ERCC2,BRIP1,GINS4,GINS2,MCM8,GTF2F2,MCM2,MCM3,MCM4,MCM5,MCM7,MRE11,MSH2,MSH3,UHRF1,DSCC1,ERCC6L,RAD51,RAD51C,RAD51B,RBBP4,RFC3,RFC4,RFC5,CHD7,CHTF18,SMARCA2,RAD54L2,NCAPH,TOP2B,XRCC2,RAD18,NAV2
GO: Molecular Function	GO:0005524	ATP binding	 	5.306E-6	1.279E-2	1.657E-3	1.386E-2	287	1485	NLRP11,MKKS,KIF18A,AARS1,ACACA,ACVR1B,ADCY2,ADCY3,ADCY7,STARD9,PIP5K1B,KIF17,STK24,ALK,RAD54L,TTF2,KIF6,HIPK4,MYH7B,CAMK1,PDXK,MKNK1,DNAH17,NLRP4,ATP5F1A,DNAH11,ATP6V1B2,MYH13,KIF1A,TTLL9,RIOK3,DYRK4,GMPS,BMPR1B,BUB1,BUB1B,ATP13A5,RUNX1,SMC3,DGKI,CDK1,CDK3,CDK5,AURKB,CDK7,CDK8,CENPE,CHEK1,TRIP13,CKMT2,LONP1,CLCN4,CLCN5,MYO3B,PRKD2,KIF23,KIF20B,CSF1R,CSNK1G3,CTPS1,DDX59,ABCA12,MELK,DDX1,DDX10,AK5,ATP2C2,KIF19,KIF14,DNAH8,AKT3,RIOK1,SMC4,DYRK1A,FARSB,ABCF2,YARS2,SGK2,RAD50,KIF20A,TRAP1,TRNT1,DYNC1LI1,STK40,HSPA14,EPB42,EPHA4,EPRS1,ABCC4,ERBB4,ERCC2,BRIP1,KATNAL1,ACSL3,ATP8A1,TESK2,FLT1,FLT3,RTCB,FPGS,NTPCR,CCT2,SMC2,TPK1,NLRP14,ATP2C1,MTOR,CCT6B,CCT8,NLK,SMC1B,MCM8,ATP8A2,GARS1,STK39,DCLK2,UBE2Q2,SLC27A5,SLC27A2,KIF2C,TLK2,KATNA1,CIT,FICD,GTF2F2,GUCY2D,WEE2,HELLS,NLRP7,KIF24,HSPA4,HSP90AA1,NLRP8,NLRP13,NLRP5,IARS1,UBE2J2,KCNJ1,KIFC3,KIT,KIF11,KIF25,LIG4,PSTK,MAK,MAT1A,MCM2,MCM3,MCM4,MCM5,MCM7,PANK1,MKI67,MOS,MSH2,MSH3,UBE2T,DDX25,MUSK,MVK,MYH3,MYH8,MYH10,MYO1E,MYO5B,MYO7A,MYO7B,MYO10,NAIP,NARS1,NEK1,NEK3,MAP3K15,NSF,RIPK4,ORC1,ORC4,ORC5,PCCA,PCCB,PDK1,PFKFB2,ABCB1,LRGUK,HSPA12A,DDX50,PIK3C3,PIK3CB,MOV10L1,PIP4K2A,EEF2K,PLK1,DDX4,PMS1,PMS2,DDX56,NMNAT3,PRKCG,PRKCQ,PRKG2,MAPK4,MAPK6,MAPK7,MAPK8,MAP2K1,CNNM2,ERCC6L,NEK5,ABCD3,NMRK1,ULK4,RAD51,RAD51C,RAD51B,RARS1,DYNC2H1,KIF26B,RFC4,RFC5,MTPAP,BBS10,NADSYN1,IQCA1,NAT10,UBE2W,ATP8B4,RIMKLA,ATAD5,RPS6KA2,STK32B,STRADB,MAPK12,DNAJA4,DDX43,CHD7,NLRP2,CCT5,CHTF18,SMARCA2,AGK,MAST1,MYH15,DHX32,COASY,MYO16,SPAST,EPHA6,PBK,SRPK1,ATP10B,RBKS,MCCC2,RAD54L2,LANCL2,AURKA,AURKC,ATP11B,SYK,KIF13B,TCP1,LARS2,STK31,DNAH7,ABCB9,TOP2B,DDX58,TRIO,TTK,UBE2A,UBE2D3,UBE2E1,UBE2G1,UBE2H,UBE2L3,IPPK,VRK1,DDX31,XRCC2,YES1,TDRD9,KIF4A,KIF15,NAV2,RARS2,DNAH10,ADCK1,ACTR3B
GO: Molecular Function	GO:0003688	DNA replication origin binding	 	5.497E-6	1.325E-2	1.657E-3	1.386E-2	14	26	CDC45,MCM8,KAT7,MCM2,MCM3,MCM4,MCM5,MCM7,ORC1,ORC4,ORC5,MAPK8,ORC6,ORC3
GO: Molecular Function	GO:0003777	microtubule motor activity	 	8.216E-6	1.981E-2	2.120E-3	1.774E-2	31	92	KIF18A,STARD9,KIF17,KIF6,DNAH17,DNAH11,KIF1A,BBS4,SMC3,CENPE,KIF23,KIF20B,KIF19,KIF14,DNAH8,KIF20A,DYNC1LI1,DYNC2LI1,KIF2C,KIF24,KIFC3,KIF11,KIF25,NDE1,DYNC2H1,KIF26B,KIF13B,DNAH7,KIF4A,KIF15,DNAH10
GO: Molecular Function	GO:0030554	adenyl nucleotide binding	 	9.262E-6	2.233E-2	2.120E-3	1.774E-2	299	1566	NLRP11,MKKS,KIF18A,AARS1,ACACA,ACADS,ACVR1B,ADCY2,ADCY3,ADCY7,STARD9,PIP5K1B,KIF17,STK24,ALK,RAD54L,TTF2,KIF6,HIPK4,MYH7B,CAMK1,PDXK,MKNK1,DNAH17,NLRP4,ATP5F1A,DNAH11,ATP6V1B2,MYH13,KIF1A,TTLL9,RIOK3,DYRK4,GMPS,BMPR1B,BUB1,BUB1B,ATP13A5,RUNX1,SMC3,DGKI,CDK1,CDK3,CDK5,AURKB,CDK7,CDK8,CENPE,CHEK1,TRIP13,CKMT2,LONP1,CLCN4,CLCN5,MYO3B,PRKD2,KIF23,KIF20B,CSF1R,CSNK1G3,CTPS1,DDX59,ABCA12,CNBD2,MELK,DDX1,DDX10,AK5,ATP2C2,KIF19,KIF14,DNAH8,AKT3,RIOK1,SMC4,DYRK1A,FARSB,ABCF2,YARS2,SGK2,RAD50,KIF20A,TRAP1,TRNT1,DYNC1LI1,STK40,HSPA14,EPB42,EPHA4,EPRS1,ABCC4,ERBB4,ERCC2,BRIP1,KATNAL1,ACSL3,FBP1,ATP8A1,CHST15,TESK2,ECI2,FLT1,FLT3,RTCB,FPGS,NTPCR,CCT2,SMC2,TPK1,NLRP14,ATP2C1,MTOR,CCT6B,CCT8,NLK,SMC1B,MCM8,ATP8A2,GARS1,STK39,DCLK2,UBE2Q2,SLC27A5,SLC27A2,KIF2C,TLK2,KATNA1,CIT,FICD,GTF2F2,GUCY2D,WEE2,HADHA,HELLS,NLRP7,KIF24,HSPA4,HSP90AA1,NLRP8,NLRP13,NLRP5,IARS1,UBE2J2,KCNJ1,KIFC3,KIT,KIF11,KIF25,LIG4,PSTK,MAK,MAT1A,MCM2,MCM3,MCM4,MCM5,MCM7,PANK1,MKI67,MOS,MSH2,MSH3,UBE2T,DDX25,MUSK,MVK,MYH3,MYH8,MYH10,MYO1E,MYO5B,MYO7A,MYO7B,MYO10,NAIP,NARS1,NEK1,NEK3,MAP3K15,NSF,RIPK4,ORC1,ORC4,ORC5,PCCA,PCCB,PDK1,PFKFB2,ABCB1,LRGUK,HSPA12A,DDX50,PIK3C3,PIK3CB,MOV10L1,PIP4K2A,EEF2K,PLK1,DDX4,PMS1,PMS2,DDX56,NMNAT3,PRKAR2A,PRKCG,PRKCQ,PRKG2,MAPK4,MAPK6,MAPK7,MAPK8,MAP2K1,CNNM2,ERCC6L,NEK5,ABCD3,NMRK1,ULK4,PYGM,RAD51,RAD51C,RAD51B,RARS1,DYNC2H1,KIF26B,RFC4,RFC5,MTPAP,BBS10,NADSYN1,IQCA1,NAT10,UBE2W,ATP8B4,RIMKLA,ATAD5,RPS6KA2,STK32B,STRADB,MAPK12,DNAJA4,DDX43,CHD7,NLRP2,GRPEL1,CCT5,CHTF18,SMARCA2,AGK,MAST1,MYH15,DHX32,PNPLA3,COASY,MYO16,SPAST,EPHA6,PBK,SRPK1,ATP10B,RBKS,MCCC2,RAD54L2,LANCL2,AURKA,AURKC,ATP11B,SYK,POPDC3,KIF13B,TCP1,LARS2,STK31,DNAH7,SIL1,ABCB9,TOP2B,DDX58,TRIO,TTK,UBE2A,UBE2D3,UBE2E1,UBE2G1,UBE2H,UBE2L3,IPPK,VRK1,DDX31,XRCC2,YES1,TDRD9,KIF4A,KIF15,NAV2,RARS2,DNAH10,ADCK1,ACTR3B
