CD8 TRM.2	CD4 TCM.1	CD4 TCM.2	Cytotoxic CD8.1	Activated CD4.1	Activated CD4.2	-1	CD8 TRM.1	Treg	Cytotoxic CD8.2	CD8 TRM.3	Mito-high T cells	Exhausted CD8.1	Terminally exhausted CD8.2	Proliferating T cells	PMCH+ terminally Exhausted CD8.1	Exhausted CD8.2	Cytotoxic CD8.3	Terminally exhausted CD8.3	Exhausted CD8.3
CD8 TRM.2	1629	49	2	87	70	87	0	482	12	113	76	48	45	131	91	86	28	7	29	0
CD4 TCM.1	49	5820	15	11	159	65	0	178	25	25	15	35	2	1	12	0	1	2	0	0
CD4 TCM.2	2	15	2147	1	12	19	0	2	3	0	5	0	0	0	0	0	0	0	0	0
Cytotoxic CD8.1	87	11	1	618	14	54	0	142	2	170	51	25	9	17	25	12	7	3	1	0
Activated CD4.1	70	159	12	14	3133	136	0	197	25	14	29	24	1	7	29	4	4	2	4	0
Activated CD4.2	87	65	19	54	136	3076	0	186	14	33	46	15	3	10	18	4	4	2	0	0
-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8 TRM.1	482	178	2	142	197	186	0	3542	36	182	134	88	108	203	145	152	46	17	33	1
Treg	12	25	3	2	25	14	0	36	2279	2	29	25	1	2	25	1	0	0	0	0
Cytotoxic CD8.2	113	25	0	170	14	33	0	182	2	599	45	26	11	21	25	13	13	6	6	0
CD8 TRM.3	76	15	5	51	29	46	0	134	29	45	607	40	67	105	88	99	25	1	32	2
Mito-high T cells	48	35	0	25	24	15	0	88	25	26	40	560	33	69	63	71	19	8	16	3
Exhausted CD8.1	45	2	0	9	1	3	0	108	1	11	67	33	336	137	84	144	29	0	32	1
Terminally exhausted CD8.2	131	1	0	17	7	10	0	203	2	21	105	69	137	1135	236	385	39	2	145	2
Proliferating T cells	91	12	0	25	29	18	0	145	25	25	88	63	84	236	640	213	28	4	71	2
PMCH+ terminally Exhausted CD8.1	86	0	0	12	4	4	0	152	1	13	99	71	144	385	213	963	32	3	64	4
Exhausted CD8.2	28	1	0	7	4	4	0	46	0	13	25	19	29	39	28	32	105	1	11	1
Cytotoxic CD8.3	7	2	0	3	2	2	0	17	0	6	1	8	0	2	4	3	1	161	0	0
Terminally exhausted CD8.3	29	0	0	1	4	0	0	33	0	6	32	16	32	145	71	64	11	0	244	0
Exhausted CD8.3	0	0	0	0	0	0	0	1	0	0	2	3	1	2	2	4	1	0	0	17
