Gene ID	ST	YL	ML	FL	RT	PH	IX
Eucgr.H03515	7.09 	5.73 	4.29 	2.62 	1.25 	14.00 	65.01 
Eucgr.C00769	7.39 	7.19 	8.21 	5.75 	1.14 	17.47 	52.84 
Eucgr.K00816	7.54 	7.56 	9.56 	2.96 	1.76 	20.56 	50.05 
Eucgr.C03199	8.79 	11.96 	7.65 	13.94 	1.73 	9.79 	46.14 
Eucgr.C03205	7.93 	10.37 	7.55 	23.28 	0.93 	4.97 	44.98 
Eucgr.C03204	10.26 	12.38 	7.64 	16.88 	2.92 	10.32 	39.60 
Eucgr.D02653	12.56 	20.95 	14.40 	22.55 	3.58 	8.20 	17.76 
Eucgr.H01094	9.28 	2.49 	3.84 	18.02 	35.80 	16.63 	13.93 
Eucgr.C03207	26.16 	30.48 	5.65 	22.96 	0.78 	2.12 	11.85 
Eucgr.F03879	14.65 	19.44 	15.22 	29.61 	2.86 	8.02 	10.21 
Eucgr.F02588	14.52 	15.67 	15.08 	12.62 	7.75 	12.79 	21.57 
Eucgr.B03711	8.38 	30.58 	15.64 	0.56 	1.90 	15.53 	27.42 
Eucgr.F01647	14.24 	21.96 	13.28 	19.46 	1.36 	9.72 	19.97 
Eucgr.C03728	12.09 	13.29 	18.72 	15.94 	9.66 	11.55 	18.74 
Eucgr.J00734	17.82 	36.81 	23.21 	5.76 	1.31 	7.38 	7.70 
Eucgr.G02157	9.19 	9.90 	11.46 	9.23 	3.56 	21.03 	35.62 
Eucgr.B02942	8.88 	8.91 	11.36 	14.29 	9.23 	18.68 	28.66 
Eucgr.J01084	12.79 	19.08 	16.01 	15.75 	0.00 	11.45 	24.92 
Eucgr.K00185	12.44 	17.35 	31.10 	12.74 	2.66 	9.86 	13.84 
Eucgr.H01421	15.54 	40.10 	11.58 	13.41 	1.80 	6.39 	11.17 
Eucgr.D02001	16.83 	35.98 	8.80 	20.73 	2.02 	7.24 	8.41 
Eucgr.E04308	6.62 	5.92 	5.45 	7.19 	1.21 	8.13 	65.50 
Eucgr.F02905	8.73 	10.08 	12.82 	11.12 	0.00 	21.54 	35.71 
Eucgr.D01117	16.29 	18.27 	16.17 	16.96 	4.23 	13.38 	14.69 
Eucgr.J00183	13.04 	24.51 	23.64 	18.91 	3.69 	6.12 	10.08 
Eucgr.C00246	0.35 	0.79 	0.62 	1.91 	0.88 	2.71 	92.74 
Eucgr.D00476	0.42 	0.70 	0.56 	1.68 	1.60 	3.22 	91.82 
Eucgr.A01324	0.61 	1.09 	0.84 	1.98 	1.47 	2.68 	91.33 
Eucgr.F04216	2.13 	5.06 	0.52 	6.17 	0.67 	1.71 	83.74 
Eucgr.F04212	3.88 	7.43 	2.63 	8.01 	3.05 	5.95 	69.06 
Eucgr.A02372	5.89 	3.75 	2.14 	5.68 	3.25 	13.52 	65.77 
Eucgr.J01278	13.37 	10.41 	17.26 	18.06 	1.94 	17.65 	21.31 
Eucgr.C01769	13.90 	10.90 	12.19 	22.90 	2.05 	17.08 	20.98 
Eucgr.G03380	15.02 	16.51 	21.09 	18.05 	0.00 	11.77 	17.57 
Eucgr.J01639	21.63 	23.12 	14.34 	7.40 	1.99 	16.77 	14.75 
Eucgr.C01147	13.21 	16.33 	23.38 	19.97 	0.45 	13.10 	13.57 
Eucgr.C02801	13.98 	18.68 	28.82 	14.57 	0.00 	10.68 	13.28 
Eucgr.I00286	17.42 	21.17 	26.07 	12.91 	1.05 	9.07 	12.31 
Eucgr.B03971	15.80 	38.99 	12.83 	9.65 	2.63 	7.80 	12.30 
Eucgr.H00939	12.94 	27.10 	15.84 	13.58 	2.52 	15.77 	12.25 
Eucgr.F03635	14.13 	14.87 	25.46 	23.18 	0.00 	12.05 	10.31 
Eucgr.K02506	9.49 	9.38 	4.92 	8.56 	9.82 	8.58 	49.24 
Eucgr.J01372	9.91 	7.63 	12.75 	5.22 	0.00 	19.77 	44.73 
Eucgr.G02921	1.78 	2.20 	2.04 	1.83 	5.13 	4.65 	82.38 
Eucgr.J00040	6.53 	5.59 	5.77 	7.97 	0.00 	12.51 	61.62 
Eucgr.B00451	8.88 	4.45 	5.34 	10.41 	7.00 	13.32 	50.60 
Eucgr.A01221	6.23 	7.40 	5.91 	8.19 	4.20 	19.23 	48.84 
Eucgr.H01112	17.34 	18.67 	17.10 	18.08 	2.74 	10.95 	15.12 
Eucgr.A01172	0.38 	0.41 	0.44 	1.62 	2.20 	5.12 	89.83 
Eucgr.K03214	0.80 	0.45 	0.54 	1.31 	3.50 	1.02 	92.38 
Eucgr.F02177	4.35 	6.17 	4.95 	12.77 	7.49 	9.46 	54.80 
Eucgr.F00463	9.78 	11.19 	10.43 	14.08 	5.68 	13.61 	35.23 
Eucgr.C00584	10.15 	14.28 	14.23 	19.53 	2.48 	20.69 	18.64 
Eucgr.G01977	0.63 	0.77 	0.69 	2.46 	3.86 	3.78 	87.81 
Eucgr.K02191	16.00 	16.63 	19.86 	17.35 	5.21 	24.95 	43.42 
Eucgr.L02297	17.86 	12.03 	10.82 	2.29 	1.62 	23.62 	31.76 
Eucgr.F01531	17.85 	6.59 	16.25 	5.29 	2.23 	23.09 	28.70 
Eucgr.I01882	16.75 	10.79 	17.65 	0.67 	5.53 	24.88 	23.72 
Eucgr.A00485	32.85 	13.34 	10.24 	18.76 	3.42 	1.93 	19.45 
Eucgr.B02574	25.31 	8.57 	15.34 	12.91 	11.49 	13.55 	12.83 
Eucgr.B03054	18.84 	11.20 	19.70 	15.85 	2.87 	19.02 	12.51 
Eucgr.H01923	22.60 	8.26 	11.55 	26.26 	2.32 	23.45 	5.56 
Eucgr.H02219	1.57 	1.35 	1.99 	3.62 	5.04 	2.90 	83.52 
Eucgr.I00880	5.56 	2.82 	4.78 	7.14 	8.01 	14.69 	56.99 
Eucgr.D00335	2.37 	3.24 	3.04 	4.41 	3.63 	4.87 	78.45 
Eucgr.B03976	11.93 	21.46 	17.32 	10.08 	0.00 	11.35 	27.85 
Eucgr.I01644	0.16 	0.25 	0.10 	0.06 	1.91 	5.60 	91.92 
Eucgr.I02785	0.32 	0.42 	0.52 	1.10 	2.34 	3.80 	91.51 
Eucgr.H02125	0.00 	0.50 	0.00 	4.03 	4.10 	0.91 	90.45 
Eucgr.H02217	0.35 	0.35 	0.44 	3.63 	4.58 	3.36 	87.29 
Eucgr.I00888	7.26 	2.77 	2.71 	7.64 	6.90 	5.88 	66.85 
Eucgr.K02723	3.63 	5.00 	7.75 	10.44 	12.35 	8.22 	52.61 
Eucgr.F02961	7.07 	3.91 	9.72 	17.80 	5.27 	29.79 	26.43 
Eucgr.I01114	23.58 	10.34 	15.30 	16.49 	3.73 	26.43 	4.12 
Eucgr.J00384	3.32 	4.36 	10.86 	6.11 	13.48 	5.64 	56.23 
