fromNode	toNode	weight	direction	fromAltName	toAltName
4833403I15Rik	Orc3	1	undirected	NA	NA
4833403I15Rik	Orc4	1	undirected	NA	NA
4833403I15Rik	Prkci	1	undirected	NA	NA
4833403I15Rik	Slc2a1	1	undirected	NA	NA
4833403I15Rik	Trip10	1	undirected	NA	NA
A630001G21Rik	Hat1	1	undirected	NA	NA
A630001G21Rik	Hdac7	1	undirected	NA	NA
A630001G21Rik	Strap	1	undirected	NA	NA
A630001G21Rik	Wwp2	1	undirected	NA	NA
Aamp	Eif3f	1	undirected	NA	NA
Aars	Eif2b1	1	undirected	NA	NA
Aars	Eif2b4	1	undirected	NA	NA
Aars	Mars	1	undirected	NA	NA
Aasdhppt	Fasn	1	undirected	NA	NA
Abcb1b	Abcb6	1	undirected	NA	NA
Abcb1b	Abcc1	1	undirected	NA	NA
Abcb1b	Abcc4	1	undirected	NA	NA
Abcb1b	Abcf1	1	undirected	NA	NA
Abcb1b	Abcf2	1	undirected	NA	NA
Abcb1b	Atp12a	1	undirected	NA	NA
Abcb1b	Atp1a1	1	undirected	NA	NA
Abcb1b	Hspa13	1	undirected	NA	NA
Abcb1b	Hspa1l	1	undirected	NA	NA
Abcb1b	Hspa2	1	undirected	NA	NA
Abcb1b	Hspa5	1	undirected	NA	NA
Abcb1b	Hspa8	1	undirected	NA	NA
Abcb1b	Hspa9	1	undirected	NA	NA
Abcb1b	Hsph1	1	undirected	NA	NA
Abcb1b	Hyou1	1	undirected	NA	NA
Abcb1b	Impdh2	1	undirected	NA	NA
Abcb1b	Psmb5	1	undirected	NA	NA
Abcb1b	Psmd4	1	undirected	NA	NA
Abcb1b	Spata5	1	undirected	NA	NA
Abcb6	Abcc1	1	undirected	NA	NA
Abcb6	Abcc4	1	undirected	NA	NA
Abcc1	Abcf1	1	undirected	NA	NA
Abcc1	Abcf2	1	undirected	NA	NA
Abcc1	Atp12a	1	undirected	NA	NA
Abcc1	Atp1a1	1	undirected	NA	NA
Abcc1	Hsp90aa1	1	undirected	NA	NA
Abcc1	Hsp90ab1	1	undirected	NA	NA
Abcc1	Hspa13	1	undirected	NA	NA
Abcc1	Hspa1l	1	undirected	NA	NA
Abcc1	Hspa2	1	undirected	NA	NA
Abcc1	Hspa5	1	undirected	NA	NA
Abcc1	Hspa8	1	undirected	NA	NA
Abcc1	Hspa9	1	undirected	NA	NA
Abcc1	Hsph1	1	undirected	NA	NA
Abcc1	Hyou1	1	undirected	NA	NA
Abcc1	Impdh2	1	undirected	NA	NA
Abcc4	Abcf1	1	undirected	NA	NA
Abcc4	Abcf2	1	undirected	NA	NA
Abcc4	Atp12a	1	undirected	NA	NA
Abcc4	Atp1a1	1	undirected	NA	NA
Abcc4	Hsp90aa1	1	undirected	NA	NA
Abcc4	Hsp90ab1	1	undirected	NA	NA
Abcc4	Hspa13	1	undirected	NA	NA
Abcc4	Hspa1l	1	undirected	NA	NA
Abcc4	Hspa2	1	undirected	NA	NA
Abcc4	Hspa5	1	undirected	NA	NA
Abcc4	Hspa8	1	undirected	NA	NA
Abcc4	Hspa9	1	undirected	NA	NA
Abcc4	Hsph1	1	undirected	NA	NA
Abcc4	Hyou1	1	undirected	NA	NA
