nodeName	altName	nodeAttr.nodesPresent...
4833403I15Rik	NA	186
A630001G21Rik	NA	188
Aamp	NA	4
Aars	NA	24
Aasdhppt	NA	70
Abcb1b	NA	20
Abcb6	NA	20
Abcc1	NA	20
Abcc4	NA	20
Abce1	NA	101
Abcf1	NA	184
Abcf2	NA	184
Abhd2	NA	73
Abhd5	NA	200
Abt1	NA	69
Acaca	NA	22
Acly	NA	74
Acsl4	NA	200
Adam10	NA	116
Adam17	NA	116
Aebp2	NA	12
Aen	NA	95
Agpat5	NA	114
Ahsa1	NA	64
Ahsa2	NA	64
Aimp2	NA	14
Ak4	NA	98
Ak6	NA	49
Akr1c18	NA	102
Alas1	NA	54
Alcam	NA	85
Alpl	NA	148
Alyref	NA	203
Ambra1	NA	68
Amica1	NA	41
Anapc10	NA	26
Ankhd1	NA	8
Ankrd17	NA	8
Ankrd49	NA	8
Ankrd52	NA	8
Apob	NA	19
Appbp2	NA	109
Arhgap44	NA	134
Arl6	NA	37
Asb6	NA	8
Asf1b	NA	9
Asns	NA	150
Asxl1	NA	12
Atad1	NA	90
Atl2	NA	31
Atp12a	NA	20
Atp1a1	NA	20
Atp1b3	NA	20
Atp5g1	NA	153
Atp6ap1	NA	154
Atp6ap2	NA	154
Atxn2l	NA	34
Atxn7l3	NA	124
Aurkaip1	NA	3
Bag2	NA	7
Baiap2	NA	37
Batf	NA	42
Bccip	NA	21
Bcl2l1	NA	40
Bend3	NA	128
Bhlhe40	NA	99
Blzf1	NA	146
Bmi1	NA	12
Bms1	NA	2
Bop1	NA	5
Brix1	NA	5
Bsg	NA	151
Btaf1	NA	38
Btbd1	NA	155
Btf3	NA	45
Btrc	NA	139
Bysl	NA	29
Bzw1	NA	4
Cad	NA	91
Carm1	NA	55
Cars	NA	7
Cblb	NA	65
Cbwd1	NA	107
Ccrn4l	NA	45
Cct2	NA	27
Cct3	NA	27
Cct6b	NA	100
Cct7	NA	27
Cct8	NA	100
Cd27	NA	53
Cd274	NA	201
Cd28	NA	42
Cd3eap	NA	17
Cd6	NA	85
Cd69	NA	42
Cd82	NA	41
Cdc123	NA	4
Cdc27	NA	26
Cdk4	NA	21
Cdk6	NA	21
Cdr2	NA	111
Chaf1a	NA	39
Chaf1b	NA	39
Chd1	NA	38
Chek1	NA	78
Chka	NA	156
Chtop	NA	157
Ciapin1	NA	72
Cirh1a	NA	2
Cks1b	NA	143
Cks2	NA	143
Clpb	NA	64
Clpx	NA	27
Cnot8	NA	45
Col4a3	NA	148
Colgalt1	NA	158
Cox10	NA	86
Cox11	NA	86
Cox15	NA	86
Crabp1	NA	66
Crabp2	NA	66
Crls1	NA	141
Cry1	NA	130
Cry2	NA	130
Csde1	NA	45
Csnk1d	NA	83
Csnk1e	NA	83
Csnk2a1	NA	12
Ctnna1	NA	117
Ctnna2	NA	117
Ctps1	NA	150
Ctu2	NA	204
Cyp51a1	NA	23
D2Wsu81e	NA	202
Dcaf13	NA	121
Dcaf4	NA	121
Ddx10	NA	10
Ddx18	NA	10
Ddx20	NA	13
Ddx21	NA	95
Ddx27	NA	10
Ddx3x	NA	1
Ddx49	NA	2
Ddx52	NA	2
Ddx54	NA	5
Ddx56	NA	5
Denr	NA	4
Dgcr8	NA	28
Dhcr24	NA	88
Dhps	NA	147
Dhx33	NA	2
Dhx37	NA	2
Dimt1	NA	2
Dip2b	NA	114
Dnaja1	NA	6
Dnajb6	NA	6
Dnajc16	NA	6
Dnajc2	NA	112
Dnajc21	NA	7
Dnajc25	NA	6
Dnajc7	NA	6
Dnmt3a	NA	18
Dohh	NA	165
Dot1l	NA	31
Dph2	NA	203
Drg1	NA	84
Dst	NA	73
Dus1l	NA	14
Dusp11	NA	17
Dusp12	NA	67
Dut	NA	6
Dync1li2	NA	109
E2f4	NA	137
E2f5	NA	137
Eaf1	NA	35
Ebna1bp2	NA	5
Eea1	NA	149
Eef1a1	NA	1
Eef1a2	NA	1
Eef1b	NA	7
Eef1e1	NA	14
Eef1g	NA	14
Eef2	NA	47
Eif1a	NA	1
Eif1b	NA	4
Eif2a	NA	4
Eif2ak1	NA	4
Eif2b1	NA	24
Eif2b3	NA	24
Eif2b4	NA	24
Eif2b5	NA	24
Eif2s1	NA	4
Eif2s2	NA	4
Eif2s3x	NA	4
Eif3a	NA	4
Eif3b	NA	4
Eif3c	NA	4
Eif3d	NA	4
Eif3e	NA	4
Eif3f	NA	4
Eif3g	NA	4
Eif3h	NA	4
Eif3i	NA	4
Eif3j2	NA	4
Eif3l	NA	4
Eif4a1	NA	4
Eif4a2	NA	4
Eif4b	NA	189
Eif4e	NA	4
Eif4e2	NA	4
Eif4enif1	NA	4
Eif4g1	NA	4
Eif5a	NA	147
Eif5b	NA	1
Eif6	NA	5
Ell	NA	35
Elp2	NA	51
Elp5	NA	51
Enpep	NA	186
Entpd4	NA	166
Entpd6	NA	166
Eomes	NA	197
Eprs	NA	14
Esf1	NA	69
Etf1	NA	34
Etnk1	NA	156
Etv6	NA	99
Ezh2	NA	12
Faap100	NA	78
Fabp5	NA	66
Fam134b	NA	167
Fasn	NA	70
Fbl	NA	2
Fbll1	NA	2
Fbxl6	NA	21
Fbxo30	NA	79
Fbxw11	NA	139
Fdft1	NA	56
Fdps	NA	23
Fem1aa	NA	8
Fem1b	NA	8
Fem1c	NA	8
Fgf13	NA	57
Fkbp4	NA	28
Fnip1	NA	6
Fosl1	NA	42
Foxk2	NA	21
Fpgs	NA	118
Ftsj1	NA	182
Ftsj3	NA	182
Fxr1	NA	33
Fxr2	NA	33
Fyttd1	NA	157
Fzr1	NA	26
G3bp1	NA	101
G3bp2	NA	101
Gabarap	NA	87
Gabarapl2	NA	87
Gar1	NA	202
Gart	NA	205
Gbp2	NA	31
Gbp4	NA	31
Gbp5	NA	31
Gcn1l1	NA	105
Gde1	NA	201
Gemin4	NA	13
Gemin6	NA	13
Gfm1	NA	3
Gfod1	NA	76
Gfpt2	NA	198
Gga2	NA	61
Gid4	NA	1
Gigyf2	NA	4
Gins1	NA	9
Gins4	NA	9
Glmn	NA	145
Gltscr2	NA	28
Gm16286	NA	32
Gm17296	NA	3
Gm17669	NA	1
Gm20425	NA	19
Gm21972	NA	15
Gm9493	NA	1
Gnb2l1	NA	193
Gng12	NA	163
Gnl2	NA	10
Gnl3	NA	10
Gnl3l	NA	10
Gorasp1	NA	146
Gpatch4	NA	6
Gphn	NA	87
Gpn1	NA	11
Gramd1b	NA	108
Grap	NA	65
Grpel1	NA	91
Grpel2	NA	91
Grwd1	NA	68
Gspt1	NA	34
Gtf2e2	NA	129
Gzmb	NA	25
H1f0	NA	43
H2-T23	NA	25
H2afy	NA	18
H2afy2	NA	18
Hat1	NA	9
Hdac7	NA	36
Hdlbp	NA	193
Heatr1	NA	2
Hectd1	NA	183
Hells	NA	38
Hemk1	NA	123
Hgh1	NA	100
Hist1h1a	NA	43
Hist1h1b	NA	43
Hist1h1c	NA	43
Hist1h1e	NA	43
Hivep3	NA	22
Hk2	NA	52
Hmg20b	NA	58
Hmgcr	NA	170
Hmgcs1	NA	204
Hook1	NA	172
Hook2	NA	172
Hsd17b12	NA	24
Hsd17b7	NA	56
Hsp90aa1	NA	6
Hsp90ab1	NA	6
Hsp90b1	NA	6
Hspa13	NA	7
Hspa1l	NA	7
Hspa2	NA	7
Hspa5	NA	7
Hspa8	NA	7
Hspa9	NA	7
Hspbp1	NA	7
Hspd1	NA	110
Hspe1	NA	7
Hsph1	NA	7
Hyou1	NA	106
Iars	NA	14
Icam1	NA	41
Id1	NA	164
Id3	NA	164
Ift20	NA	173
Ift27	NA	173
Ikbkap	NA	51
Il12rb1	NA	42
Il2	NA	25
Il2ra	NA	99
Il2rg	NA	25
Imp3	NA	2
Imp4	NA	5
Impact	NA	4
Impdh2	NA	68
Ing2	NA	36
Ipo11	NA	18
Ipo4	NA	1
Ipo5	NA	185
Ipo7	NA	52
Irf1	NA	31
Irf4	NA	58
Irf8	NA	58
Isyna1	NA	38
Itga5	NA	41
Itgb1	NA	41
Itpkc	NA	59
Jade3	NA	18
Jund	NA	102
Katna1	NA	48
Katnal1	NA	48
Kcna2	NA	59
Kcna3	NA	59
Kdm2b	NA	12
Kdm4a	NA	131
Kdm4c	NA	18
Kdm5b	NA	94
Kdm5c	NA	94
Kdm5d	NA	94
Kidins220	NA	8
Kif20b	NA	26
Klhdc10	NA	37
Klhdc2	NA	37
Klhl11	NA	89
Klhl9	NA	89
Kpna2	NA	191
Krr1	NA	2
Ksr1	NA	190
Kti12	NA	51
Lag3	NA	53
Larp1	NA	81
Larp7	NA	181
Lars	NA	14
Las1l	NA	1
Lats1	NA	135
Lats2	NA	135
Ldlr	NA	19
Lin7a	NA	195
Lman1	NA	162
Lnp	NA	174
Lonp2	NA	103
Lrrc41	NA	138
LRWD1	NA	63
Lsg1	NA	10
Lsm12	NA	60
Lsm14b	NA	127
Lss	NA	56
Lta	NA	71
Ltv1	NA	29
M6pr	NA	19
Mad2l2	NA	26
Mafg	NA	160
Mafk	NA	160
Map1lc3b	NA	167
Map2k3	NA	169
Mapkapk5	NA	169
Mapre2	NA	26
Marcks	NA	175
Marcksl1	NA	175
Mars	NA	14
Mat2a	NA	198
Mbd3	NA	36
Mcl1	NA	40
Mcm2	NA	9
Mcm3	NA	9
Mcm6	NA	9
Mcm7	NA	9
Mcph1	NA	77
Mecp2	NA	12
Med1	NA	55
Med19	NA	55
Med9	NA	55
Metap2	NA	93
Minpp1	NA	6
Mllt1	NA	11
Mllt10	NA	18
Mocs3	NA	16
Mphosph10	NA	2
Mpp6	NA	187
Mpp7	NA	187
Mrpl1	NA	3
Mrpl12	NA	3
Mrpl15	NA	3
Mrpl18	NA	3
Mrpl2	NA	3
Mrpl20	NA	3
Mrpl21	NA	3
Mrpl23	NA	3
Mrpl3	NA	3
Mrpl30	NA	3
Mrpl34	NA	3
Mrpl40	NA	3
Mrpl41	NA	3
Mrpl43	NA	3
Mrpl47	NA	3
Mrpl52	NA	3
Mrpl54	NA	3
Mrpl57	NA	3
Mrps12	NA	3
Mrps18b	NA	3
Mrps24	NA	3
Mrps25	NA	3
Mrps33	NA	3
Mrps36	NA	3
Mrps5	NA	3
Mrps6	NA	3
Mrrf	NA	3
Msmo1	NA	56
Mtdh	NA	119
Mterf3	NA	82
Mtf2	NA	12
Mthfd1	NA	126
Mthfd2	NA	126
Mybbp1a	NA	17
Myo1c	NA	73
Naa10	NA	32
Naa15	NA	32
Naa16	NA	32
Naa25	NA	32
Naa50	NA	32
Nab2	NA	25
Nabp1	NA	49
Naca	NA	45
Nacc1	NA	70
Nadk	NA	113
Nars	NA	141
Nat10	NA	2
Nbr1	NA	82
Ncl	NA	28
Ncs1	NA	59
Nemf	NA	142
Nfat5	NA	161
Nfil3	NA	40
Nfkb1	NA	8
Nfkb2	NA	8
Nfkbia	NA	8
Nfkbib	NA	8
Nfx1	NA	28
Ngdn	NA	103
Nifk	NA	5
Nip7	NA	5
Nkrf	NA	22
Nle1	NA	48
Nmd3	NA	93
Nme1	NA	98
Nme2	NA	98
Noa1	NA	10
Nob1	NA	29
Noc2l	NA	5
Noc3l	NA	5
Noc4l	NA	2
Nol10	NA	69
Nol11	NA	2
Nol6	NA	2
Nol9	NA	1
Nolc1	NA	11
Nom1	NA	112
Nop14	NA	2
Nop2	NA	10
Notch1	NA	67
Npm1	NA	28
Nrp1	NA	30
Nrros	NA	63
Nsa2	NA	1
Nsun2	NA	10
Nsun5	NA	10
Nubp1	NA	72
Nudc	NA	46
Nudcd3	NA	48
Nudt5	NA	176
Nudt9	NA	176
Nufip1	NA	35
Nvl	NA	90
Odc1	NA	15
Orc3	NA	9
Orc4	NA	9
Ormdl2	NA	54
Ormdl3	NA	54
Os9	NA	44
Pa2g4	NA	93
Pabpc1	NA	60
Pabpc4	NA	60
Paics	NA	27
Pam16	NA	132
Papd4	NA	168
Papolg	NA	123
Pard6b	NA	195
Pcna	NA	39
