gene,logFC,logCPM,P.Value,adj.P.Val
Bpifb9b,4.660623334,-2.903254834,0.012722705,0.263555574
Gm45901,4.101985655,-3.126198483,0.048445347,0.520435877
Defb11,0.6624303,0.498890667,0.096472711,0.685567537
Tpsb2,-5.03195974,-2.713051445,0.00210367,0.087959892
RP23-371K6.1,-5.031194333,-2.713237006,0.00135958,0.065154521
Igkv4-80,-5.024835631,-2.713859701,0.026067195,0.387240233
Gm17409,-4.90997905,-2.77445969,0.00381985,0.130062386
Fam110c,-4.909268915,-2.774592897,0.003799472,0.129868903
Gm7125,3.177962424,-3.390101758,0.300805521,0.982492329
Rps29-ps,2.672776177,-3.489575515,0.523828802,1
Lypd2,-0.159991989,-2.542432946,1,1
Mixl1,-4.627717977,-2.905909584,0.021542363,0.350707603
Fgf3,0.02938471,-2.711991158,1,1
RP23-451H6.3,-4.469542478,-2.975625891,0.014926056,0.288146991
5730435O14Rik,-4.468676216,-2.975782832,0.012710029,0.263555574
Gm43065,-4.466951815,-2.976062644,0.017898731,0.315955554
Gm5308,2.676613609,-3.489228757,0.524464323,1
Gm20554,-4.465311343,-2.97615149,0.033378526,0.435135761
Gm21998,-4.294385878,-3.049067296,0.106349664,0.710071211
Gm6058,-4.287089083,-3.049541643,0.049074017,0.523020647
Dhrs2,-4.285226079,-3.04972066,0.031745718,0.422668945
Gm11205,-4.285226079,-3.04972066,0.031745718,0.422668945
Ptk6,-4.285056149,-3.049754949,0.022865646,0.362494405
Vmn2r83,-4.285056149,-3.049754949,0.022865646,0.362494405
Gm10355,-4.284484148,-3.049823524,0.031660102,0.422445082
Hmgb1-ps6,-4.282288827,-3.049933947,0.105761217,0.70946574
BC107364,-4.281676803,-3.050071083,0.048566305,0.520435877
Gm37280,4.940659838,-2.771639513,0.00541571,0.16058346
Gm16368,-4.084081229,-3.12707045,0.148944994,0.798025079
Cyp1a2,0,-3.712037592,1,1
Gm3005,2.681372158,-3.489177634,0.578658544,1
Padi1,-4.077794097,-3.127354465,0.063168796,0.589899458
Gm13854,-4.077794097,-3.127354465,0.063168796,0.589899458
1700104B16Rik,-4.07612,-3.127479184,0.048246971,0.519905993
RP24-282C4.11,-4.07610174,-3.127548277,0.075442915,0.6285755
Igkv1-110,-4.075070482,-3.12763844,0.039288408,0.468842815
Rnase10,0,-3.712037592,1,1
Rab5a-ps,-4.074056037,-3.127797682,0.047754538,0.517929181
Gm34391,3.854846491,-3.208833003,0.077763045,0.634225767
Epb42,-4.072213124,-3.127853293,0.09996423,0.694493706
Gm8688,4.108231106,-3.125811833,0.082253329,0.647653767
Gh,-11.34032831,2.646880802,9.33699E-59,2.54153E-54
Cd300c,-3.837612641,-3.209533287,0.199414587,0.880507438
Cyp2g1,2.643583089,-2.903059143,0.186618288,0.867755911
4930431P03Rik,-3.8335896,-3.209693754,0.138082319,0.784676834
Gm6450,0.026559245,-2.974551603,1,1
Gm5,0.279093122,-2.772513784,1,1
Gm12321,-3.830952956,-3.209854207,0.116013341,0.729786254
Gm29538,-0.143879093,-0.697535948,0.765017404,1
RP23-287L13.6,-3.83063758,-3.2098194,0.090980561,0.6697069
Gm13326,-2.40029987,-2.975436896,0.106593909,0.710700644
Gm13921,-3.830271345,-3.209910233,0.115897101,0.729752277
Dnajc22,-1.959987302,-2.773881335,0.117782017,0.7333089
Tmprss4,-1.648532343,-3.209465878,0.470249469,1
Gm45234,3.187824989,-3.389565575,0.39117133,1
Gm7238,-3.82902007,-3.210014647,0.115682462,0.72942246
Gm12656,-3.828573309,-3.210105471,0.077159584,0.632894571
Gm5778,3.186537619,-3.389464053,0.302905056,0.982492329
Gm37662,-3.828573309,-3.210105471,0.077159584,0.632894571
Gm13171,-3.828567754,-3.210070668,0.090533391,0.6697069
Gm12732,-0.662900993,-2.975549755,0.805780123,1
Hist1h2ak,-3.828003994,-3.210140273,0.090409661,0.6697069
RP23-245C15.3,-3.826740488,-3.210175074,0.137249579,0.784530351
Gm10418,4.087931257,-3.127396651,0.099000831,0.693556869
RP24-201N16.3,1.88706546,-3.596324883,1,1
RP24-170A20.6,-3.826740488,-3.210175074,0.137249579,0.784530351
Gm11945,3.181778269,-3.38980831,0.260351629,0.959876926
5930435M05Rik,-3.826427516,-3.21023109,0.115233869,0.729189442
Pax9,0,-3.712037592,1,1
M6pr-ps,3.843046924,-3.209800663,0.13614795,0.782175433
Gm38171,0,-3.712037592,1,1
RP23-143D12.4,-3.826015397,-3.21026589,0.115161979,0.729189442
4930562F07Rik,-3.826015397,-3.21026589,0.115161979,0.729189442
Sucnr1,-3.826015397,-3.21026589,0.115161979,0.729189442
Gm43813,0.028880679,-2.974772572,1,1
Gm13142,-3.824960825,-3.210300689,0.137031443,0.784530351
Ighg2b,-3.636634508,-2.391246929,0.001077636,0.056627888
Gm44725,-3.540215374,-3.296996841,0.273378351,0.970490908
Gm37184,-3.540215374,-3.296996841,0.273378351,0.970490908
Serpina1b,-3.540215374,-3.296996841,0.273378351,0.970490908
Tex28,-3.540215374,-3.296996841,0.273378351,0.970490908
4930433J02Rik,-3.540215374,-3.296996841,0.273378351,0.970490908
Gm13679,-3.540215374,-3.296996841,0.273378351,0.970490908
Gm11453,-3.540215374,-3.296996841,0.273378351,0.970490908
