"","x","runningScore","position","ymin","ymax","geneList","Description"
"1",1,-8.08342090372646e-05,0,0,0,4.57261268231107,"Proteasome"
"2",2,-0.000161668418074529,0,0,0,4.51459371540294,"Proteasome"
"3",3,-0.000242502627111794,0,0,0,4.41821798112707,"Proteasome"
"4",4,-0.000323336836149058,0,0,0,4.14407518193211,"Proteasome"
"5",5,-0.000404171045186323,0,0,0,3.87625800905113,"Proteasome"
"6",6,-0.000485005254223587,0,0,0,3.67785700608222,"Proteasome"
"7",7,-0.000565839463260852,0,0,0,3.50196257182422,"Proteasome"
"8",8,-0.000646673672298117,0,0,0,3.29181180475379,"Proteasome"
"9",9,-0.000727507881335381,0,0,0,3.28622327553642,"Proteasome"
"10",10,-0.000808342090372646,0,0,0,3.21976069787127,"Proteasome"
"11",11,-0.00088917629940991,0,0,0,3.21343469687452,"Proteasome"
"12",12,-0.000970010508447175,0,0,0,3.20837276367322,"Proteasome"
"13",13,-0.00105084471748444,0,0,0,3.19773690427129,"Proteasome"
"14",14,-0.0011316789265217,0,0,0,3.12523889932218,"Proteasome"
"15",15,-0.00121251313555897,0,0,0,3.08683552846105,"Proteasome"
"16",16,-0.00129334734459623,0,0,0,3.06832474317075,"Proteasome"
"17",17,-0.0013741815536335,0,0,0,2.98049240045984,"Proteasome"
"18",18,-0.00145501576267076,0,0,0,2.96722291461667,"Proteasome"
"19",19,-0.00153584997170803,0,0,0,2.95109339365107,"Proteasome"
"20",20,-0.00161668418074529,0,0,0,2.94906631520437,"Proteasome"
"21",21,-0.00169751838978256,0,0,0,2.93319655454591,"Proteasome"
"22",22,-0.00177835259881982,0,0,0,2.90489607718438,"Proteasome"
"23",23,-0.00185918680785709,0,0,0,2.87700194081485,"Proteasome"
"24",24,-0.00194002101689435,0,0,0,2.82552513642048,"Proteasome"
"25",25,-0.00202085522593161,0,0,0,2.82428129851976,"Proteasome"
"26",26,-0.00210168943496888,0,0,0,2.7922676355156,"Proteasome"
"27",27,-0.00218252364400614,0,0,0,2.78798248037097,"Proteasome"
"28",28,-0.00226335785304341,0,0,0,2.78423832455259,"Proteasome"
"29",29,-0.00234419206208067,0,0,0,2.76613060129854,"Proteasome"
"30",30,-0.00242502627111794,0,0,0,2.69747346495945,"Proteasome"
"31",31,-0.0025058604801552,0,0,0,2.67972647035974,"Proteasome"
"32",32,-0.00258669468919247,0,0,0,2.6762895491481,"Proteasome"
"33",33,-0.00266752889822973,0,0,0,2.67431001864876,"Proteasome"
"34",34,-0.002748363107267,0,0,0,2.66888169680278,"Proteasome"
"35",35,-0.00282919731630426,0,0,0,2.63284766251006,"Proteasome"
"36",36,-0.00291003152534152,0,0,0,2.62958382800576,"Proteasome"
"37",37,-0.00299086573437879,0,0,0,2.62682683929664,"Proteasome"
"38",38,-0.00307169994341605,0,0,0,2.59570027852039,"Proteasome"
"39",39,-0.00315253415245332,0,0,0,2.5931269224252,"Proteasome"
"40",40,-0.00323336836149058,0,0,0,2.57645511923366,"Proteasome"
"41",41,-0.00331420257052785,0,0,0,2.55386811529543,"Proteasome"
"42",42,-0.00339503677956511,0,0,0,2.54667075821139,"Proteasome"
"43",43,-0.00347587098860238,0,0,0,2.54315315665556,"Proteasome"
"44",44,-0.00355670519763964,0,0,0,2.52745370307114,"Proteasome"
"45",45,-0.00363753940667691,0,0,0,2.52436734092944,"Proteasome"
"46",46,-0.00371837361571417,0,0,0,2.51458743183147,"Proteasome"
"47",47,-0.00379920782475143,0,0,0,2.493021394596,"Proteasome"
"48",48,-0.0038800420337887,0,0,0,2.49256708560016,"Proteasome"
"49",49,-0.00396087624282596,0,0,0,2.49100137654174,"Proteasome"
"50",50,-0.00404171045186323,0,0,0,2.46952002313472,"Proteasome"
"51",51,-0.00412254466090049,0,0,0,2.4689309844272,"Proteasome"
"52",52,-0.00420337886993776,0,0,0,2.46013932538693,"Proteasome"
"53",53,-0.00428421307897502,0,0,0,2.44693353068464,"Proteasome"
"54",54,-0.00436504728801229,0,0,0,2.43770328421161,"Proteasome"
"55",55,-0.00444588149704955,0,0,0,2.42216462691667,"Proteasome"
"56",56,-0.00452671570608682,0,0,0,2.41874823716783,"Proteasome"
"57",57,-0.00460754991512408,0,0,0,2.41872027138629,"Proteasome"
"58",58,-0.00468838412416134,0,0,0,2.41518776914574,"Proteasome"
"59",59,-0.00476921833319861,0,0,0,2.40778308080024,"Proteasome"
"60",60,-0.00485005254223587,0,0,0,2.37633010514165,"Proteasome"
"61",61,-0.00493088675127314,0,0,0,2.37600161440676,"Proteasome"
"62",62,-0.0050117209603104,0,0,0,2.37336571483027,"Proteasome"
"63",63,-0.00509255516934767,0,0,0,2.37282076305454,"Proteasome"
"64",64,-0.00517338937838493,0,0,0,2.36981856605078,"Proteasome"
"65",65,-0.0052542235874222,0,0,0,2.3625624169791,"Proteasome"
"66",66,-0.00533505779645946,0,0,0,2.35506049138685,"Proteasome"
"67",67,-0.00541589200549673,0,0,0,2.35443895996355,"Proteasome"
"68",68,-0.00549672621453399,0,0,0,2.34711414400842,"Proteasome"
"69",69,-0.00557756042357125,0,0,0,2.34008550822467,"Proteasome"
"70",70,-0.00565839463260852,0,0,0,2.33401302222811,"Proteasome"
"71",71,-0.00573922884164578,0,0,0,2.33159347644854,"Proteasome"
"72",72,-0.00582006305068305,0,0,0,2.32813572232542,"Proteasome"
"73",73,-0.00590089725972031,0,0,0,2.31757432136409,"Proteasome"
"74",74,-0.00598173146875758,0,0,0,2.30958990186447,"Proteasome"
"75",75,-0.00606256567779484,0,0,0,2.28817170180098,"Proteasome"
"76",76,-0.00614339988683211,0,0,0,2.28536454045819,"Proteasome"
"77",77,-0.00622423409586937,0,0,0,2.28409005788997,"Proteasome"
"78",78,-0.00630506830490664,0,0,0,2.28257378157491,"Proteasome"
"79",79,-0.0063859025139439,0,0,0,2.28164291672685,"Proteasome"
"80",80,-0.00646673672298117,0,0,0,2.27943678261934,"Proteasome"
"81",81,-0.00654757093201843,0,0,0,2.27589510769316,"Proteasome"
"82",82,-0.00662840514105569,0,0,0,2.2676095771495,"Proteasome"
"83",83,-0.00670923935009296,0,0,0,2.25632822477146,"Proteasome"
"84",84,-0.00679007355913022,0,0,0,2.25209188180157,"Proteasome"
"85",85,-0.00687090776816749,0,0,0,2.25075941769641,"Proteasome"
"86",86,-0.00695174197720475,0,0,0,2.23857474905902,"Proteasome"
"87",87,-0.00703257618624202,0,0,0,2.23657190148115,"Proteasome"
