CASEID	CONTROLID
CONTROL307	CASE7
CONTROL351	CASE64
CONTROL812	CASE73
CONTROL243	CASE98
CONTROL385	CASE101
CONTROL414	CASE186
CONTROL785	CASE222
CONTROL20	CASE30
CONTROL651	CASE62
CONTROL778	CASE69
CONTROL457	CASE51
CONTROL882	CASE78
CONTROL18	CASE75
CONTROL32	CASE112
CONTROL796	CASE1
CONTROL254	CASE71
CONTROL342	CASE95
CONTROL430	CASE114
CONTROL869	CASE179
CONTROL947	CASE233
CONTROL15	CASE93
CONTROL17	CASE133
CONTROL770	CASE225
CONTROL300	CASE23
CONTROL629	CASE107
CONTROL896	CASE59
CONTROL224	CASE19
CONTROL319	CASE37
CONTROL423	CASE85
CONTROL907	CASE213
CONTROL511	CASE25
CONTROL586	CASE209
CONTROL646	CASE236
CONTROL273	CASE8
CONTROL281	CASE49
CONTROL484	CASE65
CONTROL822	CASE152
CONTROL894	CASE155
CONTROL950	CASE164
CONTROL376	CASE32
CONTROL468	CASE38
CONTROL753	CASE223
CONTROL313	CASE13
CONTROL318	CASE18
CONTROL707	CASE103
CONTROL828	CASE118
CONTROL862	CASE126
CONTROL902	CASE15
CONTROL241	CASE97
CONTROL402	CASE180
CONTROL416	CASE21
CONTROL810	CASE63
CONTROL864	CASE67
CONTROL109	CASE79
CONTROL163	CASE88
CONTROL633	CASE130
CONTROL820	CASE170
CONTROL917	CASE207
CONTROL904	CASE45
CONTROL922	CASE228
CONTROL669	CASE145
CONTROL144	CASE77
CONTROL747	CASE159
CONTROL34	CASE87
CONTROL276	CASE208
CONTROL417	CASE134
CONTROL477	CASE174
CONTROL481	CASE177
CONTROL643	CASE221
CONTROL694	CASE241
CONTROL27	CASE109
CONTROL251	CASE151
CONTROL870	CASE167
CONTROL12	CASE31
CONTROL734	CASE136
CONTROL215	CASE48
CONTROL235	CASE125
CONTROL362	CASE144
CONTROL397	CASE181
CONTROL482	CASE219
CONTROL839	CASE246
CONTROL847	CASE54
CONTROL885	CASE56
CONTROL150	CASE57
CONTROL162	CASE68
CONTROL768	CASE128
