source,state,outcome
Tumor,Mid,Stable
Tumor,Mid,Responder
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Stable
Tumor,High,Progressor
Inflamed,High,Stable
Normal,Mid,Responder
Normal,Low,Responder
Inflamed,Mid,Stable
Normal,Low,Responder
Tumor,High,Progressor
Inflamed,High,Stable
Tumor,High,Progressor
Inflamed,High,Progressor
Inflamed,Mid,Stable
Inflamed,High,Progressor
Inflamed,High,Progressor
Tumor,Mid,Responder
Inflamed,High,Progressor
Normal,Mid,Stable
Normal,Mid,Stable
Tumor,High,Progressor
Inflamed,Mid,Stable
Inflamed,High,Progressor
Inflamed,High,Progressor
Normal,Low,Responder
Inflamed,High,Progressor
Normal,Low,Responder
Inflamed,Mid,Stable
Normal,Mid,Stable
Inflamed,High,Progressor
Normal,Low,Responder
Inflamed,High,Progressor
Inflamed,High,Progressor
Normal,Low,Responder
Inflamed,High,Progressor
Normal,Mid,Responder
Inflamed,Mid,Stable
Inflamed,Mid,Stable
Normal,Low,Responder
Inflamed,Mid,Responder
Tumor,Mid,Stable
Inflamed,Mid,Responder
Inflamed,Mid,Responder
Normal,Low,Responder
Inflamed,High,Progressor
Tumor,Mid,Stable
Tumor,High,Stable
Inflamed,High,Progressor
Normal,Low,Responder
Tumor,High,Progressor
Tumor,Mid,Stable
Normal,Low,Responder
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Stable
Inflamed,High,Progressor
Tumor,High,Stable
Inflamed,High,Progressor
Inflamed,Mid,Stable
Normal,Mid,Responder
Tumor,High,Progressor
Normal,Low,Responder
Inflamed,High,Progressor
Inflamed,Mid,Responder
Tumor,High,Progressor
Tumor,High,Progressor
Inflamed,Mid,Responder
Normal,Low,Responder
Inflamed,Mid,Stable
Normal,Low,Responder
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Progressor
Inflamed,Mid,Responder
Tumor,High,Stable
Inflamed,Mid,Stable
Normal,Low,Responder
Normal,Low,Responder
Inflamed,Mid,Responder
Inflamed,High,Progressor
Inflamed,Mid,Responder
Tumor,High,Progressor
Inflamed,Mid,Stable
Tumor,High,Stable
Inflamed,High,Progressor
Inflamed,Mid,Stable
Inflamed,High,Progressor
Tumor,High,Stable
Inflamed,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Normal,Low,Responder
Inflamed,Mid,Stable
Inflamed,Mid,Stable
Tumor,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Progressor
Inflamed,Mid,Responder
Inflamed,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Progressor
Tumor,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Stable
Tumor,High,Progressor
Inflamed,High,Progressor
Normal,Mid,Stable
Tumor,High,Progressor
Normal,Low,Responder
Inflamed,Mid,Stable
Tumor,High,Progressor
Tumor,High,Progressor
Inflamed,Mid,Stable
Normal,Low,Responder
Normal,Low,Responder
Inflamed,Mid,Stable
Tumor,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Progressor
Inflamed,Mid,Stable
Tumor,Mid,Stable
Tumor,High,Stable
Normal,Mid,Responder
Inflamed,Mid,Stable
Tumor,High,Progressor
Inflamed,Mid,Stable
Inflamed,High,Progressor
Normal,Mid,Stable
Tumor,Mid,Stable
Inflamed,Mid,Responder
Tumor,Mid,Responder
Normal,Mid,Stable
Tumor,High,Progressor
Normal,Mid,Responder
Normal,Low,Responder
Normal,Low,Responder
Tumor,Mid,Stable
Inflamed,Mid,Responder
Inflamed,Mid,Responder
Inflamed,High,Progressor
Tumor,High,Stable
Tumor,High,Progressor
Inflamed,High,Progressor
Normal,Low,Responder
Tumor,High,Stable
Normal,Low,Responder
Inflamed,Mid,Stable
Normal,Mid,Stable
Inflamed,Mid,Stable
Normal,Low,Responder
Tumor,High,Progressor
Inflamed,Mid,Responder
Normal,Mid,Stable
Inflamed,High,Progressor
Tumor,High,Progressor
Normal,Low,Responder
Inflamed,High,Stable
Inflamed,Mid,Stable
Normal,Mid,Stable
Tumor,High,Stable
Inflamed,Mid,Responder
Normal,Mid,Stable
Inflamed,Mid,Stable
Tumor,High,Progressor
Inflamed,High,Progressor
Inflamed,Mid,Stable
Inflamed,Mid,Responder
Inflamed,High,Stable
Inflamed,High,Progressor
Inflamed,Mid,Responder
Tumor,Mid,Responder
Normal,Low,Responder
Normal,Low,Responder
Inflamed,Mid,Stable
Normal,Low,Responder
Normal,Low,Responder
Inflamed,Mid,Stable
Tumor,High,Progressor
Inflamed,High,Stable
Tumor,High,Progressor
Normal,Low,Responder
Inflamed,Mid,Stable
Normal,Mid,Stable
Tumor,Mid,Responder
Normal,Mid,Stable
Tumor,High,Progressor
Normal,Low,Responder
Tumor,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Normal,Low,Responder
Normal,Mid,Responder
Inflamed,Mid,Stable
Inflamed,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Normal,Mid,Responder
Inflamed,High,Stable
Inflamed,High,Progressor
Inflamed,High,Progressor
Inflamed,High,Progressor
Inflamed,Mid,Stable
Tumor,High,Progressor
Inflamed,High,Progressor
Normal,Low,Responder
Normal,Low,Responder
Normal,Low,Responder
Normal,Low,Responder
Normal,Low,Responder
Tumor,High,Stable
Tumor,High,Progressor
Inflamed,Mid,Responder
Inflamed,High,Progressor
Inflamed,High,Progressor
Normal,Low,Responder
Inflamed,High,Stable
Normal,Low,Responder
Inflamed,High,Progressor
Normal,Low,Responder
Inflamed,High,Stable
Normal,Low,Responder
Inflamed,High,Progressor
Tumor,High,Stable
Inflamed,High,Progressor
Normal,Low,Responder
Inflamed,Mid,Responder
Inflamed,High,Progressor
Normal,Low,Responder
Tumor,High,Progressor
Tumor,High,Progressor
Inflamed,Mid,Stable
Inflamed,Mid,Stable
Tumor,High,Progressor
