"","x"
"1","cg00735667"
"2","cg02250553"
"3","cg02668822"
"4","cg02939781"
"5","cg03104758"
"6","cg03691338"
"7","cg04058305"
"8","cg07268319"
"9","cg08320628"
"10","cg09672570"
"11","cg10844118"
"12","cg11066033"
"13","cg12605679"
"14","cg12683342"
"15","cg13024018"
"16","cg14163444"
"17","cg14858951"
"18","cg15013768"
"19","cg17155577"
"20","cg17379209"
"21","cg17525102"
"22","cg19586165"
"23","cg19931348"
"24","cg20599651"
"25","cg20657849"
"26","cg20796999"
"27","cg21499430"
"28","cg21599089"
"29","cg21685663"
"30","cg21735093"
"31","cg22145091"
"32","cg22229039"
"33","cg24241129"
"34","cg24265969"
"35","cg24372565"
"36","cg25341275"
"37","cg26688191"
